"","HAADF","O","Cr","Fe","Ni","Pb","Bi"
"Position","Intensity","Net intensity","Net intensity","Net intensity","Net intensity","Net intensity","Net intensity"
"m","Counts","Counts","Counts","Counts","Counts","Counts","Counts"
0.000000e+00,2.140938e+04,1.459976e-01,1.897533e-01,1.746616e+00,4.695717e-02,2.642977e-02,1.875793e-03
5.295506e-11,2.139851e+04,1.434643e-01,2.107781e-01,1.668499e+00,4.740917e-02,2.399117e-02,3.498258e-03
1.059101e-10,2.140647e+04,1.487599e-01,2.309009e-01,1.631947e+00,5.379605e-02,1.595510e-02,6.855438e-03
1.588652e-10,2.141297e+04,1.679945e-01,2.500323e-01,1.670354e+00,6.786763e-02,1.461708e-02,7.632706e-03
2.118202e-10,2.136581e+04,1.739448e-01,2.274583e-01,1.688752e+00,7.783180e-02,2.270168e-02,6.417281e-03
2.647753e-10,2.144669e+04,1.524556e-01,1.928143e-01,1.646130e+00,6.877436e-02,2.699061e-02,6.454222e-03
3.177304e-10,2.138719e+04,1.326586e-01,1.744374e-01,1.656841e+00,4.936018e-02,3.334476e-02,8.152427e-03
3.706854e-10,2.140770e+04,1.330692e-01,1.504168e-01,1.716773e+00,2.821068e-02,4.153399e-02,1.070005e-02
4.236405e-10,2.149092e+04,1.354311e-01,1.373572e-01,1.740685e+00,2.362926e-02,3.112361e-02,1.135733e-02
4.765955e-10,2.149479e+04,1.174764e-01,1.486609e-01,1.750264e+00,3.959041e-02,1.490913e-02,1.166888e-02
5.295506e-10,2.147946e+04,1.205546e-01,1.871652e-01,1.780084e+00,5.603286e-02,1.719213e-02,1.054468e-02
5.825056e-10,2.148899e+04,1.574264e-01,2.129476e-01,1.791313e+00,5.406873e-02,2.967971e-02,9.446887e-03
6.354607e-10,2.148864e+04,1.772055e-01,2.032019e-01,1.773539e+00,4.495812e-02,3.145938e-02,6.998859e-03
6.884158e-10,2.151413e+04,1.698589e-01,1.835946e-01,1.717117e+00,4.899973e-02,2.463130e-02,4.910448e-03
7.413708e-10,2.152471e+04,1.542119e-01,1.627657e-01,1.628927e+00,6.625408e-02,1.309834e-02,6.496616e-03
7.943259e-10,2.151589e+04,1.331699e-01,1.508388e-01,1.570422e+00,7.541084e-02,5.574356e-03,8.222430e-03
8.472809e-10,2.162202e+04,1.324708e-01,1.470726e-01,1.583877e+00,6.585588e-02,5.925992e-03,8.690548e-03
9.002360e-10,2.157283e+04,1.517840e-01,1.519077e-01,1.643158e+00,5.068286e-02,7.968355e-03,1.125935e-02
9.531911e-10,2.153914e+04,1.455832e-01,1.746247e-01,1.681863e+00,4.773032e-02,7.437163e-03,1.136068e-02
1.006146e-09,2.159359e+04,1.333810e-01,1.880911e-01,1.684200e+00,5.607020e-02,1.092108e-02,7.929866e-03
1.059101e-09,2.156588e+04,1.522464e-01,1.688310e-01,1.665467e+00,6.148982e-02,1.770372e-02,8.431249e-03
1.112056e-09,2.156986e+04,1.719664e-01,1.383877e-01,1.625779e+00,5.316908e-02,1.951351e-02,1.270306e-02
1.165011e-09,2.156345e+04,1.721392e-01,1.369617e-01,1.679074e+00,4.486525e-02,1.856899e-02,1.275767e-02
1.217966e-09,2.157128e+04,1.687122e-01,1.658487e-01,1.746393e+00,5.246872e-02,1.939372e-02,1.076657e-02
1.270921e-09,2.157054e+04,1.648635e-01,1.995608e-01,1.748249e+00,7.110500e-02,1.817486e-02,1.066392e-02
1.323876e-09,2.153635e+04,1.667635e-01,2.006646e-01,1.699213e+00,8.077760e-02,1.363822e-02,7.740202e-03
1.376832e-09,2.154296e+04,1.750264e-01,1.710105e-01,1.678256e+00,7.893363e-02,1.338650e-02,6.107319e-03
1.429787e-09,2.148921e+04,1.788152e-01,1.571121e-01,1.699849e+00,7.462257e-02,1.899289e-02,9.985515e-03
1.482742e-09,2.155483e+04,1.806811e-01,1.727826e-01,1.711133e+00,8.450086e-02,1.805274e-02,1.428740e-02
1.535697e-09,2.154471e+04,1.601435e-01,1.890074e-01,1.693566e+00,9.446894e-02,1.083788e-02,1.311314e-02
1.588652e-09,2.150733e+04,1.253440e-01,1.870766e-01,1.725223e+00,9.495013e-02,1.134464e-02,8.048207e-03
1.641607e-09,2.153364e+04,1.198212e-01,1.835991e-01,1.807699e+00,8.090205e-02,1.667320e-02,5.952232e-03
1.694562e-09,2.151922e+04,1.525660e-01,2.011094e-01,1.820805e+00,6.380431e-02,1.601808e-02,7.749608e-03
1.747517e-09,2.144614e+04,1.908052e-01,2.091210e-01,1.788022e+00,5.804095e-02,2.003857e-02,8.987059e-03
1.800472e-09,2.146941e+04,2.117034e-01,1.920527e-01,1.838331e+00,6.160339e-02,3.313313e-02,5.687491e-03
1.853427e-09,2.147596e+04,2.158604e-01,1.855298e-01,1.886366e+00,6.425958e-02,3.839563e-02,2.300564e-03
1.906382e-09,2.141655e+04,2.006383e-01,2.011816e-01,1.879761e+00,6.274218e-02,2.731838e-02,1.927124e-03
1.959337e-09,2.142762e+04,1.762889e-01,2.220904e-01,1.891325e+00,5.702618e-02,1.616790e-02,2.845569e-03
2.012292e-09,2.146546e+04,1.583326e-01,2.301391e-01,1.892016e+00,4.852685e-02,1.250495e-02,4.546491e-03
2.065247e-09,2.149150e+04,1.566673e-01,2.245970e-01,1.818441e+00,4.278006e-02,9.949110e-03,6.372743e-03
2.118202e-09,2.150001e+04,1.621087e-01,2.046756e-01,1.776646e+00,4.139181e-02,1.031040e-02,5.603256e-03
2.171157e-09,2.142279e+04,1.615113e-01,1.792709e-01,1.790814e+00,4.690310e-02,1.071588e-02,4.091275e-03
2.224112e-09,2.142727e+04,1.697544e-01,1.637601e-01,1.833932e+00,4.854077e-02,8.968011e-03,3.066247e-03
2.277068e-09,2.143758e+04,1.732137e-01,1.650217e-01,1.878561e+00,4.353609e-02,9.903237e-03,5.592668e-03
