Distance (nm),C %,C % Error,Fe %,Fe % Error,Si %,Si % Error,C3 %,C3 % Error,C2 %,C2 % Error,Mn %,Mn % Error,Ga %,Ga % Error,Cr %,Cr % Error,V %,V % Error,P %,P % Error,FeC2 %,FeC2 % Error,C4 %,C4 % Error,B %,B % Error,Ni %,Ni % Error,Co %,Co % Error,Zn %,Zn % Error,FeO %,FeO % Error,Cu %,Cu % Error,Mo %,Mo % Error,MoC %,MoC % Error,Mo2 %,Mo2 % Error,W %,W % Error,O %,O % Error,WC %,WC % Error,Pb %,Pb % Error,Bi %,Bi % Error,Sample Count
-19.75,0.385882761,0.040824495,84.91588623,0.235660643,1.409122442,0.077611382,0,0,0,0,0.242802636,0.032406453,0,0,10.31044051,0.200236037,0.056364898,0.015628404,0.008671523,0.006131427,0,0,0,0,0,0,1.413458203,0.077728983,0.320846341,0.037237747,0.013007284,0.007509271,0,0,0.060700659,0.016218009,0.841137704,0.060135649,0,0,0,0,0.013007284,0.007509271,0.004335761,0.004335667,0,0,0.004335761,0.004335667,0,0,23064
-19.25,0.391339487,0.04072005,84.90365392,0.233497392,1.442000936,0.077752011,0,0,0,0,0.302011995,0.035788065,0,0,10.40877962,0.199166162,0.097834872,0.020389999,0.01276107,0.007367137,0,0,0,0,0,0,1.327151304,0.074634903,0.289250925,0.03502606,0.034029521,0.012029205,0,0,0.055297971,0.015332657,0.727381003,0.055421546,0,0,0,0,0.00850738,0.00601537,0,0,0,0,0,0,0,0,23509
-18.75,0.396295678,0.040578434,84.98247956,0.230734045,1.426664442,0.076592899,0,0,0,0,0.24194894,0.031730996,0,0,10.32037377,0.196490914,0.087602203,0.019107993,0.016686134,0.008342371,0,0,0,0,0.004171533,0.004171446,1.314033039,0.073549328,0.262806608,0.033066983,0.016686134,0.008342371,0,0,0.087602203,0.019107993,0.825963624,0.058455761,0,0,0,0,0.016686134,0.008342371,0,0,0,0,0,0,0,0,23972
-18.25,0.421348315,0.041631714,84.57947786,0.232114667,1.404494382,0.075632613,0,0,0,0,0.227197621,0.0306005,0,0,10.81873761,0.19963912,0.086748182,0.018921793,0.016523463,0.008261049,0,0,0,0,0,0,1.313615334,0.073178461,0.29742234,0.034999394,0.016523463,0.008261049,0,0,0.053701256,0.014890049,0.72290152,0.054448341,0,0,0,0,0.033046927,0.011681922,0.004130866,0.004130781,0,0,0.004130866,0.004130781,0,0,24208
-17.75,0.299868551,0.035044297,84.90798554,0.229430898,1.445941505,0.076509726,0,0,0,0,0.275221821,0.033577395,0.004107788,0.004107704,10.56523168,0.19701384,0.094479132,0.019690952,0.032862307,0.011616671,0,0,0,0,0,0,1.174827473,0.069059729,0.283437397,0.034073462,0.020538942,0.009184351,0,0,0.073940191,0.017421426,0.80512652,0.057277059,0,0,0,0,0.012323365,0.00711446,0,0,0,0,0.004107788,0.004107704,0,0,24344
-17.25,0.383157215,0.039235717,85.09720094,0.226161285,1.500362991,0.077204424,0,0,0,0,0.229894329,0.030415226,0.008066468,0.005703624,10.13148342,0.191631548,0.096797612,0.019749165,0.008066468,0.005703624,0,0,0,0,0,0,1.407598613,0.074814855,0.246027265,0.031461789,0.020166169,0.009017676,0,0,0.05243204,0.014538219,0.810680003,0.05694871,0,0,0,0,0,0,0.008066468,0.005703624,0,0,0,0,0,0,24794
-16.75,0.387519476,0.039270329,84.86277016,0.226538857,1.386281012,0.073901832,0,0,0,0,0.255682953,0.031919484,0.007990092,0.005649623,10.49498622,0.193720472,0.091886061,0.019150764,0.007990092,0.005649623,0,0,0,0,0,0,1.354320642,0.073056806,0.33158883,0.036336209,0.019975231,0.008932302,0,0,0.035955415,0.011982984,0.743078583,0.054282354,0,0,0,0,0.007990092,0.005649623,0.011985138,0.006919208,0,0,0,0,0,0,25031
-16.25,0.356520361,0.037513495,84.66566313,0.226781212,1.533037553,0.077329033,0,0,0,0,0.316906988,0.035375092,0.003961337,0.003961259,10.47377595,0.192729275,0.07526541,0.01726057,0.011884012,0.00686083,0,0,0,0,0,0,1.394390746,0.073801293,0.332752337,0.036245801,0.023768024,0.009702102,0,0,0.035652036,0.011881893,0.752654096,0.054397392,0,0,0,0,0.015845349,0.007922047,0.007922675,0.005601955,0,0,0,0,0,0,25244
-15.75,0.353700249,0.03701223,84.70537935,0.224399475,1.360385572,0.072219367,0,0,0,0,0.264303483,0.032009121,0,0,10.55270522,0.191541328,0.101057214,0.019808933,0.011660448,0.00673177,0,0,0,0,0,0,1.515858209,0.076174468,0.260416667,0.031773507,0.031094527,0.010991866,0,0,0.042754975,0.012888354,0.789023632,0.055159695,0,0,0,0,0.007773632,0.005496574,0.003886816,0.00388674,0,0,0,0,0,0,25728
-15.25,0.418618942,0.040012409,84.71848836,0.222981301,1.382594669,0.072363642,0,0,0,0,0.284200015,0.032990601,0,0,10.71894923,0.191713167,0.088332437,0.01841045,0.011521622,0.006651628,0,0,0,0,0,0,1.309624395,0.070454213,0.291881097,0.03343216,0.015362163,0.007680491,0,0,0.04992703,0.013843809,0.695137875,0.051489292,0,0,0,0,0.007681081,0.005431136,0.003840541,0.003840467,0,0,0.003840541,0.003840467,0,0,26038
