====== H (10) into Layer 1                      =======
        SRIM-2008.04
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Fe   Energy = 7500 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     5.E+04 A ;
  Layer # 1- Density = 8.491E22 atoms/cm3 = 7.602 g/cm3
  Layer # 1- Fe = 47.7 Atomic Percent = 49.4 Mass Percent
  Layer # 1- Cr = 15.2 Atomic Percent = 14.6 Mass Percent
  Layer # 1- Al = 7.81 Atomic Percent = 3.91 Mass Percent
  Layer # 1- Ni = 22.3 Atomic Percent = 24.3 Mass Percent
  Layer # 1- Cu = 2.53 Atomic Percent = 2.99 Mass Percent
  Layer # 1- Mn = 4.06 Atomic Percent = 4.13 Mass Percent
  Layer # 1- Nb = .304 Atomic Percent = .524 Mass Percent
====================================================================
 Total Ions calculated =2014.00
 Total Target Vacancies     = 8728 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
500010.E-03  1145.38E-05  1229.48E-04  
100001.E-02  1221.95E-05  1409.52E-04  
150001.E-02  1255.51E-05  1344.53E-04  
200001.E-02  1287.19E-05  1431.90E-04  
250001.E-02  1338.33E-05  1640.29E-04  
300001.E-02  1400.50E-05  1623.91E-04  
350001.E-02  1409.04E-05  1661.90E-04  
400001.E-02  1483.91E-05  1799.30E-04  
450001.E-02  1529.20E-05  1708.87E-04  
500001.E-02  1578.65E-05  2079.61E-04  
550001.E-02  1579.34E-05  1857.93E-04  
600001.E-02  1661.37E-05  2098.24E-04  
650001.E-02  1724.53E-05  2148.20E-04  
700001.E-02  1829.59E-05  2390.29E-04  
750001.E-02  1872.39E-05  2369.50E-04  
800001.E-02  1959.78E-05  2554.47E-04  
850001.E-02  2025.82E-05  3059.89E-04  
900001.E-02  2092.65E-05  2749.99E-04  
950001.E-02  2188.68E-05  3087.17E-04  
100000.E-01  2310.92E-05  3311.90E-04  
105000.E-01  2388.88E-05  3498.04E-04  
110000.E-01  2479.74E-05  3414.65E-04  
115000.E-01  2556.60E-05  3825.87E-04  
120000.E-01  2629.49E-05  4010.20E-04  
125000.E-01  2795.43E-05  4689.01E-04  
130000.E-01  2906.65E-05  4857.26E-04  
135000.E-01  2975.87E-05  5592.20E-04  
140000.E-01  3000.40E-05  5552.23E-04  
145000.E-01  3198.11E-05  6055.12E-04  
150000.E-01  3383.12E-05  6602.83E-04  
155000.E-01  3663.95E-05  7279.42E-04  
160000.E-01  3937.74E-05  7691.23E-04  
165000.E-01  3973.29E-05  7732.73E-04  
170000.E-01  4050.55E-05  7942.23E-04  
175000.E-01  4060.18E-05  7805.38E-04  
180000.E-01  3915.89E-05  7288.50E-04  
185000.E-01  3820.75E-05  7277.06E-04  
190000.E-01  3545.88E-05  6281.64E-04  
195000.E-01  2910.23E-05  5408.59E-04  
200000.E-01  2317.97E-05  3871.64E-04  
205000.E-01  1718.77E-05  2764.39E-04  
210000.E-01  1022.14E-05  1662.74E-04  
215000.E-01  6656.41E-06  1045.37E-04  
220000.E-01  3220.46E-06  4944.06E-05  
225000.E-01  1243.30E-06  1693.42E-05  
230000.E-01  3495.53E-07  5616.47E-06  
235000.E-01  0000.00E+00  0000.00E+00  
240000.E-01  0000.00E+00  0000.00E+00  
245000.E-01  0000.00E+00  0000.00E+00  
250000.E-01  0000.00E+00  0000.00E+00  
255000.E-01  0000.00E+00  0000.00E+00  
260000.E-01  0000.00E+00  0000.00E+00  
265000.E-01  0000.00E+00  0000.00E+00  
270000.E-01  0000.00E+00  0000.00E+00  
275000.E-01  0000.00E+00  0000.00E+00  
280000.E-01  0000.00E+00  0000.00E+00  
285000.E-01  0000.00E+00  0000.00E+00  
290000.E-01  0000.00E+00  0000.00E+00  
295000.E-01  0000.00E+00  0000.00E+00  
300000.E-01  0000.00E+00  0000.00E+00  
305000.E-01  0000.00E+00  0000.00E+00  
310000.E-01  0000.00E+00  0000.00E+00  
315000.E-01  0000.00E+00  0000.00E+00  
320000.E-01  0000.00E+00  0000.00E+00  
325000.E-01  0000.00E+00  0000.00E+00  
330000.E-01  0000.00E+00  0000.00E+00  
335000.E-01  0000.00E+00  0000.00E+00  
340000.E-01  0000.00E+00  0000.00E+00  
345000.E-01  0000.00E+00  0000.00E+00  
350000.E-01  0000.00E+00  0000.00E+00  
355000.E-01  0000.00E+00  0000.00E+00  
360000.E-01  0000.00E+00  0000.00E+00  
365000.E-01  0000.00E+00  0000.00E+00  
370000.E-01  0000.00E+00  0000.00E+00  
375000.E-01  0000.00E+00  0000.00E+00  
380000.E-01  0000.00E+00  0000.00E+00  
385000.E-01  0000.00E+00  0000.00E+00  
390000.E-01  0000.00E+00  0000.00E+00  
395000.E-01  0000.00E+00  0000.00E+00  
400000.E-01  0000.00E+00  0000.00E+00  
405000.E-01  0000.00E+00  0000.00E+00  
410000.E-01  0000.00E+00  0000.00E+00  
415000.E-01  0000.00E+00  0000.00E+00  
420000.E-01  0000.00E+00  0000.00E+00  
425000.E-01  0000.00E+00  0000.00E+00  
430000.E-01  0000.00E+00  0000.00E+00  
435000.E-01  0000.00E+00  0000.00E+00  
440000.E-01  0000.00E+00  0000.00E+00  
445000.E-01  0000.00E+00  0000.00E+00  
450000.E-01  0000.00E+00  0000.00E+00  
455000.E-01  0000.00E+00  0000.00E+00  
460000.E-01  0000.00E+00  0000.00E+00  
465000.E-01  0000.00E+00  0000.00E+00  
470000.E-01  0000.00E+00  0000.00E+00  
475000.E-01  0000.00E+00  0000.00E+00  
480000.E-01  0000.00E+00  0000.00E+00  
485000.E-01  0000.00E+00  0000.00E+00  
490000.E-01  0000.00E+00  0000.00E+00  
495000.E-01  0000.00E+00  0000.00E+00  
500000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lo- multiply by Average Binding Energy =  3  eV/Vacancy
