====== H (10) into Layer 1                      =======
        SRIM-2008.04
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = He   Energy = 625 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     5.E+04 A ;
  Layer # 1- Density = 8.491E22 atoms/cm3 = 7.602 g/cm3
  Layer # 1- Fe = 47.7 Atomic Percent = 49.4 Mass Percent
  Layer # 1- Cr = 15.2 Atomic Percent = 14.6 Mass Percent
  Layer # 1- Al = 7.81 Atomic Percent = 3.91 Mass Percent
  Layer # 1- Ni = 22.3 Atomic Percent = 24.3 Mass Percent
  Layer # 1- Cu = 2.53 Atomic Percent = 2.99 Mass Percent
  Layer # 1- Mn = 4.06 Atomic Percent = 4.13 Mass Percent
  Layer # 1- Nb = .304 Atomic Percent = .524 Mass Percent
====================================================================
 Total Ions calculated =5088.00
 Total Target Vacancies     = 75 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
500010.E-03  1922.17E-07  3508.76E-07  
100001.E-02  3011.01E-07  9539.53E-07  
150001.E-02  3466.98E-07  6935.30E-07  
200001.E-02  3812.89E-07  1072.67E-06  
250001.E-02  4076.26E-07  8733.81E-07  
300001.E-02  4347.48E-07  1873.67E-06  
350001.E-02  4799.53E-07  1128.30E-06  
400001.E-02  5066.82E-07  1323.71E-06  
450001.E-02  5483.49E-07  9475.03E-07  
500001.E-02  6053.46E-07  1178.49E-06  
550001.E-02  6234.28E-07  1338.33E-06  
600001.E-02  7099.06E-07  1493.87E-06  
650001.E-02  8140.72E-07  2523.52E-06  
700001.E-02  8734.28E-07  1784.13E-06  
750001.E-02  1117.53E-06  2533.75E-06  
800001.E-02  1207.55E-06  2595.52E-06  
850001.E-02  1508.25E-06  3638.39E-06  
900001.E-02  1917.45E-06  4045.93E-06  
950001.E-02  2555.82E-06  4630.90E-06  
100000.E-01  3398.19E-06  5811.94E-06  
105000.E-01  4746.07E-06  7857.74E-06  
110000.E-01  6611.24E-06  9381.83E-06  
115000.E-01  8415.49E-06  1110.43E-05  
120000.E-01  8721.70E-06  9646.27E-06  
125000.E-01  7434.36E-06  6640.19E-06  
130000.E-01  3902.91E-06  3082.22E-06  
135000.E-01  1082.55E-06  6730.89E-07  
140000.E-01  2004.72E-07  1240.27E-07  
145000.E-01  1297.17E-08  8114.40E-09  
150000.E-01  7861.64E-10  5644.58E-11  
155000.E-01  0000.00E+00  0000.00E+00  
160000.E-01  0000.00E+00  0000.00E+00  
165000.E-01  0000.00E+00  0000.00E+00  
170000.E-01  0000.00E+00  0000.00E+00  
175000.E-01  0000.00E+00  0000.00E+00  
180000.E-01  0000.00E+00  0000.00E+00  
185000.E-01  0000.00E+00  0000.00E+00  
190000.E-01  0000.00E+00  0000.00E+00  
195000.E-01  0000.00E+00  0000.00E+00  
200000.E-01  0000.00E+00  0000.00E+00  
205000.E-01  0000.00E+00  0000.00E+00  
210000.E-01  0000.00E+00  0000.00E+00  
215000.E-01  0000.00E+00  0000.00E+00  
220000.E-01  0000.00E+00  0000.00E+00  
225000.E-01  0000.00E+00  0000.00E+00  
230000.E-01  0000.00E+00  0000.00E+00  
235000.E-01  0000.00E+00  0000.00E+00  
240000.E-01  0000.00E+00  0000.00E+00  
245000.E-01  0000.00E+00  0000.00E+00  
250000.E-01  0000.00E+00  0000.00E+00  
255000.E-01  0000.00E+00  0000.00E+00  
260000.E-01  0000.00E+00  0000.00E+00  
265000.E-01  0000.00E+00  0000.00E+00  
270000.E-01  0000.00E+00  0000.00E+00  
275000.E-01  0000.00E+00  0000.00E+00  
280000.E-01  0000.00E+00  0000.00E+00  
285000.E-01  0000.00E+00  0000.00E+00  
290000.E-01  0000.00E+00  0000.00E+00  
295000.E-01  0000.00E+00  0000.00E+00  
300000.E-01  0000.00E+00  0000.00E+00  
305000.E-01  0000.00E+00  0000.00E+00  
310000.E-01  0000.00E+00  0000.00E+00  
315000.E-01  0000.00E+00  0000.00E+00  
320000.E-01  0000.00E+00  0000.00E+00  
325000.E-01  0000.00E+00  0000.00E+00  
330000.E-01  0000.00E+00  0000.00E+00  
335000.E-01  0000.00E+00  0000.00E+00  
340000.E-01  0000.00E+00  0000.00E+00  
345000.E-01  0000.00E+00  0000.00E+00  
350000.E-01  0000.00E+00  0000.00E+00  
355000.E-01  0000.00E+00  0000.00E+00  
360000.E-01  0000.00E+00  0000.00E+00  
365000.E-01  0000.00E+00  0000.00E+00  
370000.E-01  0000.00E+00  0000.00E+00  
375000.E-01  0000.00E+00  0000.00E+00  
380000.E-01  0000.00E+00  0000.00E+00  
385000.E-01  0000.00E+00  0000.00E+00  
390000.E-01  0000.00E+00  0000.00E+00  
395000.E-01  0000.00E+00  0000.00E+00  
400000.E-01  0000.00E+00  0000.00E+00  
405000.E-01  0000.00E+00  0000.00E+00  
410000.E-01  0000.00E+00  0000.00E+00  
415000.E-01  0000.00E+00  0000.00E+00  
420000.E-01  0000.00E+00  0000.00E+00  
425000.E-01  0000.00E+00  0000.00E+00  
430000.E-01  0000.00E+00  0000.00E+00  
435000.E-01  0000.00E+00  0000.00E+00  
440000.E-01  0000.00E+00  0000.00E+00  
445000.E-01  0000.00E+00  0000.00E+00  
450000.E-01  0000.00E+00  0000.00E+00  
455000.E-01  0000.00E+00  0000.00E+00  
460000.E-01  0000.00E+00  0000.00E+00  
465000.E-01  0000.00E+00  0000.00E+00  
470000.E-01  0000.00E+00  0000.00E+00  
475000.E-01  0000.00E+00  0000.00E+00  
480000.E-01  0000.00E+00  0000.00E+00  
485000.E-01  0000.00E+00  0000.00E+00  
490000.E-01  0000.00E+00  0000.00E+00  
495000.E-01  0000.00E+00  0000.00E+00  
500000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lo- multiply by Average Binding Energy =  3  eV/Vacancy
